"agency","fiscal_year","n","n_common","n_uncommon","common_mean","uncommon_mean","common_median","uncommon_median","gap","gap_dollars","uncommon_share","suppressed"
"BROOKLYN COMMUNITY BOARD #11",2024,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #11",2025,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #12",2014,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #12",2015,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #12",2016,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #12",2017,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #12",2018,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #12",2019,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #12",2020,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #12",2021,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #12",2022,1,1,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #12",2023,1,1,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #12",2024,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #12",2025,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #13",2014,2,1,1,,,,,,,0.5,TRUE
"BROOKLYN COMMUNITY BOARD #13",2015,1,0,1,,,,,,,1,TRUE
"BROOKLYN COMMUNITY BOARD #13",2016,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #13",2017,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #13",2018,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #13",2019,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #13",2020,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #13",2021,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #13",2022,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #13",2023,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #13",2024,4,4,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #13",2025,4,4,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #14",2014,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #14",2015,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #14",2016,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #14",2017,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #14",2018,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #14",2019,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #14",2020,1,1,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #14",2021,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #14",2022,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #14",2023,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #14",2024,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #14",2025,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #15",2014,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #15",2015,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #15",2016,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #15",2017,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #15",2018,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #15",2019,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #15",2020,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #15",2021,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #15",2022,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #15",2023,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #15",2024,1,1,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #15",2025,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #16",2014,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #16",2015,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #16",2016,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #16",2017,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #16",2018,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #16",2019,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #16",2020,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #16",2021,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #16",2022,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #16",2023,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #16",2024,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #16",2025,2,1,1,,,,,,,0.5,TRUE
"BROOKLYN COMMUNITY BOARD #17",2014,4,4,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #17",2015,4,4,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #17",2016,4,4,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #17",2017,4,4,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #17",2018,4,4,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #17",2019,4,4,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #17",2020,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #17",2021,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #17",2022,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #17",2023,4,4,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #17",2024,2,1,1,,,,,,,0.5,TRUE
"BROOKLYN COMMUNITY BOARD #17",2025,2,1,1,,,,,,,0.5,TRUE
"BROOKLYN COMMUNITY BOARD #18",2014,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #18",2015,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #18",2016,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #18",2017,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #18",2018,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #18",2019,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #18",2020,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #18",2021,1,1,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #18",2022,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #18",2023,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #18",2024,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #18",2025,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #2",2014,2,1,1,,,,,,,0.5,TRUE
"BROOKLYN COMMUNITY BOARD #2",2015,3,2,1,,,,,,,0.333333333333333,TRUE
"BROOKLYN COMMUNITY BOARD #2",2016,3,2,1,,,,,,,0.333333333333333,TRUE
"BROOKLYN COMMUNITY BOARD #2",2017,3,2,1,,,,,,,0.333333333333333,TRUE
"BROOKLYN COMMUNITY BOARD #2",2018,2,1,1,,,,,,,0.5,TRUE
"BROOKLYN COMMUNITY BOARD #2",2019,3,2,1,,,,,,,0.333333333333333,TRUE
"BROOKLYN COMMUNITY BOARD #2",2020,3,2,1,,,,,,,0.333333333333333,TRUE
"BROOKLYN COMMUNITY BOARD #2",2021,2,1,1,,,,,,,0.5,TRUE
"BROOKLYN COMMUNITY BOARD #2",2022,1,1,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #2",2023,1,1,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #2",2024,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #2",2025,3,2,1,,,,,,,0.333333333333333,TRUE
"BROOKLYN COMMUNITY BOARD #3",2014,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #3",2015,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #3",2016,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #3",2017,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #3",2018,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #3",2019,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #3",2020,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #3",2021,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #3",2022,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #3",2023,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #3",2024,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #3",2025,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #4",2014,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #4",2015,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #4",2016,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #4",2017,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #4",2018,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #4",2019,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #4",2020,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #4",2021,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #4",2022,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #4",2023,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #4",2024,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #4",2025,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #5",2014,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #5",2015,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #5",2016,1,1,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #5",2017,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #5",2018,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #5",2019,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #5",2020,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #5",2021,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #5",2022,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #5",2023,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #5",2024,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #5",2025,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #6",2014,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #6",2015,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #6",2016,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #6",2017,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #6",2018,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #6",2019,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #6",2020,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #6",2021,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #6",2022,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #6",2023,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #6",2024,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #6",2025,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #7",2014,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #7",2015,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #7",2016,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #7",2017,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #7",2018,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #7",2019,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #7",2020,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #7",2021,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #7",2022,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #7",2023,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #7",2024,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #7",2025,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #8",2014,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #8",2015,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #8",2016,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #8",2017,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #8",2018,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #8",2019,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #8",2020,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #8",2021,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #8",2022,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #8",2023,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #8",2024,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #8",2025,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #9",2014,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #9",2015,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #9",2017,1,1,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #9",2018,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #9",2019,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #9",2020,2,2,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #9",2021,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #9",2022,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #9",2023,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #9",2024,3,3,0,,,,,,,0,TRUE
"BROOKLYN COMMUNITY BOARD #9",2025,3,3,0,,,,,,,0,TRUE
"BUSINESS INTEGRITY COMMISSION",2014,63,59,4,,,,,,,0.0634920634920635,TRUE
"BUSINESS INTEGRITY COMMISSION",2015,71,68,3,,,,,,,0.0422535211267606,TRUE
"BUSINESS INTEGRITY COMMISSION",2016,76,72,4,,,,,,,0.0526315789473684,TRUE
"BUSINESS INTEGRITY COMMISSION",2017,77,70,7,,,,,,,0.0909090909090909,TRUE
"BUSINESS INTEGRITY COMMISSION",2018,80,73,7,,,,,,,0.0875,TRUE
"BUSINESS INTEGRITY COMMISSION",2019,76,72,4,,,,,,,0.0526315789473684,TRUE
"BUSINESS INTEGRITY COMMISSION",2020,80,77,3,,,,,,,0.0375,TRUE
"BUSINESS INTEGRITY COMMISSION",2021,78,74,4,,,,,,,0.0512820512820513,TRUE
"BUSINESS INTEGRITY COMMISSION",2022,70,65,5,,,,,,,0.0714285714285714,TRUE
"BUSINESS INTEGRITY COMMISSION",2023,68,63,5,,,,,,,0.0735294117647059,TRUE
"BUSINESS INTEGRITY COMMISSION",2024,64,58,6,,,,,,,0.09375,TRUE
"BUSINESS INTEGRITY COMMISSION",2025,62,58,4,,,,,,,0.0645161290322581,TRUE
"CAMPAIGN FINANCE BOARD",2014,80,75,5,,,,,,,0.0625,TRUE
"CAMPAIGN FINANCE BOARD",2015,85,76,9,,,,,,,0.105882352941176,TRUE
"CAMPAIGN FINANCE BOARD",2016,87,78,9,,,,,,,0.103448275862069,TRUE
"CAMPAIGN FINANCE BOARD",2017,87,80,7,,,,,,,0.0804597701149425,TRUE
"CAMPAIGN FINANCE BOARD",2018,99,91,8,,,,,,,0.0808080808080808,TRUE
"CAMPAIGN FINANCE BOARD",2019,100,92,8,,,,,,,0.08,TRUE
"CAMPAIGN FINANCE BOARD",2020,108,99,9,,,,,,,0.0833333333333333,TRUE
"CAMPAIGN FINANCE BOARD",2021,108,95,13,,,,,,,0.12037037037037,TRUE
"CAMPAIGN FINANCE BOARD",2022,115,98,17,,,,,,,0.147826086956522,TRUE
"CAMPAIGN FINANCE BOARD",2023,138,118,20,,,,,,,0.144927536231884,TRUE
"CAMPAIGN FINANCE BOARD",2024,156,136,20,,,,,,,0.128205128205128,TRUE
"CAMPAIGN FINANCE BOARD",2025,172,149,23,,,,,,,0.133720930232558,TRUE
"CITY CLERK",2014,56,54,2,,,,,,,0.0357142857142857,TRUE
"CITY CLERK",2015,64,57,7,,,,,,,0.109375,TRUE
"CITY CLERK",2016,63,56,7,,,,,,,0.111111111111111,TRUE
"CITY CLERK",2017,68,59,9,,,,,,,0.132352941176471,TRUE
"CITY CLERK",2018,62,55,7,,,,,,,0.112903225806452,TRUE
"CITY CLERK",2019,67,56,11,,,,,,,0.164179104477612,TRUE
"CITY CLERK",2020,62,52,10,,,,,,,0.161290322580645,TRUE
"CITY CLERK",2021,60,51,9,,,,,,,0.15,TRUE
"CITY CLERK",2022,57,48,9,,,,,,,0.157894736842105,TRUE
"CITY CLERK",2023,57,47,10,,,,,,,0.175438596491228,TRUE
"CITY CLERK",2024,59,48,11,,,,,,,0.186440677966102,TRUE
"CITY CLERK",2025,55,43,12,,,,,,,0.218181818181818,TRUE
"CITY COUNCIL",2014,272,260,12,,,,,,,0.0441176470588235,TRUE
"CITY COUNCIL",2015,311,292,19,,,,,,,0.0610932475884244,TRUE
"CITY COUNCIL",2016,316,294,22,,,,,,,0.069620253164557,TRUE
"CITY COUNCIL",2017,313,289,24,,,,,,,0.0766773162939297,TRUE
"CITY COUNCIL",2018,340,311,29,,,,,,,0.0852941176470588,TRUE
"CITY COUNCIL",2019,417,382,35,99035.1230366492,86805.9428571428,86913,77710,0.123483263356787,12229.1801795064,0.0839328537170264,FALSE
"CITY COUNCIL",2020,408,372,36,102426.064516129,89333.9444444444,92679,77520.5,0.127820200195459,13092.1200716846,0.0882352941176471,FALSE
"CITY COUNCIL",2021,380,345,35,101302.162318841,94897.9428571429,90573,90000,0.0632189808697363,6404.21946169771,0.0921052631578947,FALSE
"CITY COUNCIL",2022,348,315,33,114659.101587302,102736.939393939,109530,85000,0.103979204688645,11922.1621933622,0.0948275862068965,FALSE
"CITY COUNCIL",2023,413,382,31,109417.662303665,99988.7096774193,95000,92700,0.0861739542568325,9428.95262624556,0.0750605326876513,FALSE
"CITY COUNCIL",2024,453,421,32,110880.667458432,104168.84375,98323,94382,0.0605319562217508,6711.82370843233,0.0706401766004415,FALSE
"CITY COUNCIL",2025,785,711,74,102378.649789029,88592.445945946,86998,79659.5,0.134658973052414,13786.2038430834,0.0942675159235669,FALSE
"CIVIL SERVICE COMMISSION",2014,6,5,1,,,,,,,0.166666666666667,TRUE
"CIVIL SERVICE COMMISSION",2015,7,6,1,,,,,,,0.142857142857143,TRUE
"CIVIL SERVICE COMMISSION",2016,7,6,1,,,,,,,0.142857142857143,TRUE
"CIVIL SERVICE COMMISSION",2017,8,6,2,,,,,,,0.25,TRUE
"CIVIL SERVICE COMMISSION",2018,8,6,2,,,,,,,0.25,TRUE
"CIVIL SERVICE COMMISSION",2019,8,7,1,,,,,,,0.125,TRUE
"CIVIL SERVICE COMMISSION",2020,8,7,1,,,,,,,0.125,TRUE
"CIVIL SERVICE COMMISSION",2021,8,7,1,,,,,,,0.125,TRUE
"CIVIL SERVICE COMMISSION",2022,8,8,0,,,,,,,0,TRUE
"CIVIL SERVICE COMMISSION",2023,6,6,0,,,,,,,0,TRUE
"CIVIL SERVICE COMMISSION",2024,7,7,0,,,,,,,0,TRUE
"CIVIL SERVICE COMMISSION",2025,7,7,0,,,,,,,0,TRUE
"CIVILIAN COMPLAINT REVIEW BD",2014,151,140,11,,,,,,,0.0728476821192053,TRUE
"CIVILIAN COMPLAINT REVIEW BD",2015,141,132,9,,,,,,,0.0638297872340425,TRUE
"CIVILIAN COMPLAINT REVIEW BD",2016,146,133,13,,,,,,,0.089041095890411,TRUE
"CIVILIAN COMPLAINT REVIEW BD",2017,158,147,11,,,,,,,0.069620253164557,TRUE
"CIVILIAN COMPLAINT REVIEW BD",2018,172,157,15,,,,,,,0.0872093023255814,TRUE
"CIVILIAN COMPLAINT REVIEW BD",2019,168,154,14,,,,,,,0.0833333333333333,TRUE
"CIVILIAN COMPLAINT REVIEW BD",2020,191,177,14,,,,,,,0.0732984293193717,TRUE
"CIVILIAN COMPLAINT REVIEW BD",2021,181,166,15,,,,,,,0.0828729281767956,TRUE
"CIVILIAN COMPLAINT REVIEW BD",2022,198,177,21,,,,,,,0.106060606060606,TRUE
"CIVILIAN COMPLAINT REVIEW BD",2023,210,189,21,,,,,,,0.1,TRUE
"CIVILIAN COMPLAINT REVIEW BD",2024,220,197,23,,,,,,,0.104545454545455,TRUE
"CIVILIAN COMPLAINT REVIEW BD",2025,230,201,29,,,,,,,0.126086956521739,TRUE
"COMMISSION ON RACIAL EQUITY",2024,6,6,0,,,,,,,0,TRUE
"COMMISSION ON RACIAL EQUITY",2025,13,10,3,,,,,,,0.230769230769231,TRUE
"COMMUNITY COLLEGE (BRONX)",2014,802,707,95,65079.6322489392,55123.6105263158,61903,53032,0.152982144775191,9956.02172262339,0.118453865336658,FALSE
"COMMUNITY COLLEGE (BRONX)",2015,796,701,95,65834.2993152639,57139.4210526316,64545,55017,0.132072162278127,8694.87826263233,0.119346733668342,FALSE
"COMMUNITY COLLEGE (BRONX)",2016,828,734,94,65553.8117166212,58881.5106382979,62282,57616,0.101783571444582,6672.30107832338,0.113526570048309,FALSE
"COMMUNITY COLLEGE (BRONX)",2017,862,762,100,72217.2454068241,65502.58,69188,64314,0.0929786973872814,6714.66540682414,0.116009280742459,FALSE
"COMMUNITY COLLEGE (BRONX)",2018,888,785,103,72369.1286624203,65547.5436893204,68351,65011,0.0942609797738553,6821.58497309993,0.115990990990991,FALSE
"COMMUNITY COLLEGE (BRONX)",2019,849,750,99,73620.2013333331,67638.3333333333,71268,66131,0.0812530785254917,5981.86799999983,0.11660777385159,FALSE
"COMMUNITY COLLEGE (BRONX)",2020,810,718,92,78193.1364902508,71333.6413043479,74874.5,71039,0.087725029251873,6859.49518590295,0.11358024691358,FALSE
"COMMUNITY COLLEGE (BRONX)",2021,781,690,91,79217.1289855073,74476.0659340659,78144,75297,0.0598489633764528,4741.06305144136,0.11651728553137,FALSE
"COMMUNITY COLLEGE (BRONX)",2022,726,640,86,83183.4390625,79811.1046511628,84946,81696,0.0405409351830644,3372.3344113372,0.118457300275482,FALSE
"COMMUNITY COLLEGE (BRONX)",2023,711,626,85,85736.5159744409,83794.1529411765,86645,83764,0.0226550264048924,1942.36303326444,0.119549929676512,FALSE
"COMMUNITY COLLEGE (BRONX)",2024,682,596,86,87467.6124161075,84231.8604651163,90375,85524.5,0.0369937152919856,3235.75195099122,0.126099706744868,FALSE
"COMMUNITY COLLEGE (BRONX)",2025,709,618,91,89875.2281553398,85881.6703296703,90375,83764,0.0444344666226276,3993.55782566949,0.128349788434415,FALSE
"COMMUNITY COLLEGE (HOSTOS)",2014,549,500,49,63943.124,62048.387755102,59306,61903,0.0296315870475451,1894.73624489797,0.0892531876138433,FALSE
"COMMUNITY COLLEGE (HOSTOS)",2015,557,501,56,64909.5608782435,59506.7857142857,61903,64956,0.083235429278165,5402.77516395778,0.100538599640934,FALSE
"COMMUNITY COLLEGE (HOSTOS)",2016,572,519,53,64662.0867052023,63358.5094339623,61775,68024,0.0201598392143316,1303.57727124005,0.0926573426573427,FALSE
"COMMUNITY COLLEGE (HOSTOS)",2017,592,543,49,70462.5598526704,71214.1632653061,67131,75110,-0.0106667060380334,-751.60341263577,0.0827702702702703,FALSE
"COMMUNITY COLLEGE (HOSTOS)",2018,603,546,57,71460.5384615385,69446.1052631579,66490,71723,0.0281894489147295,2014.4331983806,0.0945273631840796,FALSE
"COMMUNITY COLLEGE (HOSTOS)",2019,599,540,59,71872.4944444443,70416.3389830509,68351,75034,0.0202602605161985,1456.15546139347,0.0984974958263773,FALSE
"COMMUNITY COLLEGE (HOSTOS)",2020,599,544,55,76031.8547794116,76091.6,74370,81647,-0.000785791965245696,-59.7452205883892,0.0918196994991653,FALSE
"COMMUNITY COLLEGE (HOSTOS)",2021,564,511,53,77203.4970645792,78415.6603773585,74976,85162,-0.0157008860850605,-1212.16331277926,0.0939716312056738,FALSE
"COMMUNITY COLLEGE (HOSTOS)",2022,550,499,51,79939.751503006,86331.3137254902,78005,88602,-0.0799547421941114,-6391.56222248418,0.0927272727272727,FALSE
"COMMUNITY COLLEGE (HOSTOS)",2023,524,472,52,84008.0042372881,92651.25,83346,96602,-0.102885979034786,-8643.24576271187,0.099236641221374,FALSE
"COMMUNITY COLLEGE (HOSTOS)",2024,518,461,57,84704.3969631236,87868.1228070176,86188,90375,-0.0373501961801499,-3163.72584389396,0.11003861003861,FALSE
"COMMUNITY COLLEGE (HOSTOS)",2025,530,470,60,86416.9361702127,86681.4333333333,86645,90375,-0.00306070979651091,-264.497163120628,0.113207547169811,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2014,880,819,61,63428.5592185592,58894.2295081967,60417,56126,0.0714871938796264,4534.32971036251,0.0693181818181818,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2015,891,831,60,64058.9702166065,58177.9333333333,61903,56215.5,0.0918066098063589,5881.03688327315,0.0673400673400673,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2016,886,828,58,65847.4833937198,57848,64956,57813.5,0.121485028454144,7999.4833937198,0.0654627539503386,FALSE
"COMMUNITY COLLEGE (KINGSBORO)",2017,867,809,58,73516.8640296663,67081.2413793103,72373,66131,0.0875394065742378,6435.62265035592,0.0668973471741638,FALSE
